"pedido_codigo","pedido_id","data_hora","origem","situacao","situacao_descricao","valor_total_pedido","rastreio_id","produto_id","produto_nome","produto_titulo","codigo_pai","derivacao_id","derivacao_codigo","derivacao_nome","categoria_id","categoria","quantidade","valor_unitario","valor_desconto","valor_item","valor_frete","link_produto"
"0012507822235","4379","2025-07-14 13:41:35-03","3","8","Entregue","0","4379","904","Vestido Feminino Manuela","Vestido Feminino Manuela","2042","4433","2042M","M","39","Outlet","1","267.7","34.29","233.41","0","vestido-feminino-manuela"
"0012507822235","4379","2025-07-14 13:41:35-03","3","8","Entregue","0","4379","890","Vestido Moletom Feminino Rafaela","Vestido Moletom Feminino Rafaela","2053","4386","2053M","M","39","Outlet","1","277.7","35.57","242.13","0","vestido-moletom-feminino-rafaela"
"0012507822235","4379","2025-07-14 13:41:35-03","3","8","Entregue","0","4379","585","Body Frísio","Body Frísio","1783","2994","1783G","G","11","Body","1","79.9","10.24","69.66","0","body-frisio"
"0012507822235","4379","2025-07-14 13:41:35-03","3","8","Entregue","0","4379","588","Calça Jeans Feminina Nobreza Cabana","Calça Jeans Feminina Nobreza Cabana","1808","3019","180840","40","8","Calça","1","257.7","33.01","224.69","0","calca-jeans-feminina-nobreza-cabana"
"0012507822235","4379","2025-07-14 13:41:35-03","3","8","Entregue","0","4379","800","Vestido Feminino Helena","Vestido Feminino Helena","1979","4055","1979GG","GG","39","Outlet","1","99.9","12.8","87.1","0","vestido-feminino-helena"
"0012507822235","4379","2025-07-14 13:41:35-03","3","8","Entregue","0","4379","158","Calça Jeans Feminina Boot Cut Cabana","Calça Jeans Feminina Boot Cut Cabana","1186","605","118640","40","46","Mais Vendidos","1","257.7","33.01","224.69","0","calca-jeans-feminina-boot-cut-cabana"
"0012507822235","4379","2025-07-14 13:41:35-03","3","8","Entregue","0","4379","963","Moletom Feminino Cris","Moletom Feminino Cris","2111","4655","2111G","G","45","Lançamentos","1","217.7","27.89","189.81","0","moletom-feminino-cris"
"0012507822235","4379","2025-07-14 13:41:35-03","3","8","Entregue","0","4379","962","Moletom Feminino Beatriz","Moletom Feminino Beatriz","2110","4650","2110G","G","45","Lançamentos","1","217.7","27.89","189.81","0","moletom-feminino-beatriz"
"0012507822235","4379","2025-07-14 13:41:35-03","3","8","Entregue","0","4379","918","Cropped Feminino Marina","Cropped Feminino Marina","2077","4484","2077G","G","6","Manga curta","1","167.7","21.48","146.22","0","cropped-feminino-marina"
"0012507822235","4379","2025-07-14 13:41:35-03","3","8","Entregue","0","4379","919","Saia Feminina Longa Marina","Saia Feminina Longa Marina","2078","4490","2078M","M","9","Saia","1","267.7","34.29","233.41","0","saia-feminina-longa-marina"
"0012507822235","4379","2025-07-14 13:41:35-03","3","8","Entregue","0","4379","732","Casaco Ted Feminino Rose","Casaco Ted Feminino Rose","1915","3807","1915G","G","39","Outlet","1","155.4","19.91","135.49","0","casaco-ted-feminino-rose"
"0012507822235","4379","2025-07-14 13:41:35-03","3","8","Entregue","0","4379","805","Cropped Feminino Modal Lilia","Cropped Feminino Modal Lilia","1989","4081","1989G","G","1","Feminino","1","157.7","20.2","137.5","0","cropped-feminino-modal-lilia"
